articulos.id,articulos.codigo,articulos.nombre,articulos.precio,articulos.existencia
1,7790310001486,3d 38 gr,0.00,0
2,7790310980774,3d queso 85 gr,0.00,0
3,77910318,43/70,0.00,0
4,77910431,43/70 largo,0.00,0
5,7791813421528,7up 1500,0.00,0
6,100000024,7up 237,0.00,0
7,7791813420521,7up 500,0.00,0
8,7791813421542,7up free 1500,0.00,0
9,7791813420491,7up free 500,0.00,0
10,7792200000128,9 de oro agridulce,0.00,0
11,7792200000319,9 de oro azucarado,0.00,0
12,7792200000159,9 de oro salado,0.00,0
13,7791337571853,actimel ,0.00,0
14,7791337222151,activia ciruela,0.00,0
15,7791337222212,activia kiwi,0.00,0
16,7793640215486,actron 400,0.00,0
17,7793640215523,actron 600,0.00,0
18,7791564012495,adler quesitos azul,0.00,0
19,7791564013355,adler quesitos gruyere,0.00,0
20,7791564012525,adler quesitos salame,0.00,0
21,7798065733485,agua 1500 sin gas sierra,0.00,0
22,7790315000439,agua 1500 sin gas villavicen,0.00,0
23,7798062547801,agua 500 cc. con gas villavic,0.00,0
24,7792799000011,agua 500 cc. sin gas eco,0.00,0
25,7798065733454,agua 500 cc. sin gas sierra,0.00,0
26,7790315000446,agua 500 cc. sin gas villavic,0.00,0
27,7798062547788,agua litro y 1/2 con gas,0.00,0
28,7790040298804,aguila alfajor ,0.00,0
29,77931528,aguila individual,0.00,0
30,7790407031013,aguila taza 100 grs.,0.00,0
31,131,album angry birds,0.00,0
32,8018190049213,album era del hielo,0.00,0
33,8018190025903,album floricienta,0.00,0
34,1567603266145,album garfield,0.00,0
35,100000189,album god,0.00,0
36,7798018612027,album hadas,0.00,0
37,8018190048759,album hombre araña,0.00,0
38,7798141535026,album jumper,0.00,0
39,100000188,album london 2012,0.00,0
40,100000190,album looney,0.00,0
41,100000186,album valiente,0.00,0
42,100000181,album vengadores,0.00,0
43,100000216,alfajor ambrosia,0.00,0
44,100000035,alfajor ambrosia x 5,0.00,0
45,100000144,alicates chicos,0.00,0
46,100000145,alicates grandes,0.00,0
47,100000010,alikal,0.00,0
48,7790895640452,aquarius 500 manzana,0.00,0
49,7790895641213,aquarius 500 naranja,0.00,0
50,7790895640445,aquarius 500 pera,0.00,0
51,7790895640469,aquarius 500 pomelo,0.00,0
52,7790895004032,aquarius 500 pomelo rosado,0.00,0
53,7790895641206,aquarius 500 uva,0.00,0
54,7790895640483,aquarius litro manzana,0.00,0
55,7790895641237,aquarius litro naranja,0.00,0
56,7790895640476,aquarius litro pera,0.00,0
57,7790895640490,aquarius litro pomelo,0.00,0
58,7790895004049,aquarius litro pomelo rosado,0.00,0
59,7790895641220,aquarius litro uva,0.00,0
60,7790580607418,arcor chocolate x 25 gr blan,0.00,0
61,7790580607210,arcor chocolate x 25 gr negr,0.00,0
62,100000104,argento tabaco pipa vainilla,0.00,0
63,100000219,argento tabaco pipa whisky,0.00,0
64,3057069079017,armador metal OCB,0.00,0
65,3057069017019,armador plastico OCB,0.00,0
66,100000036,arquito chupetin bolita,0.00,0
67,100000011,aspirinetas solo x tira,0.00,0
68,6932448200343,auricular acson as-ex34,0.00,0
69,885170046368,auricular panasonic powerful bass,0.00,0
70,6922900053501,auricular raia wtel0904,0.00,0
71,6938408087306,auricular shuoni sn-730mp,0.00,0
72,6930819500498,auricular suoyi superbass,0.00,0
73,7792799000622,awafrut,0.00,0
74,7791293028187,axe fusion,0.00,0
75,7791293022437,axe marine,0.00,0
76,7791293005362,axe music star,0.00,0
77,7791293022130,axe musk,0.00,0
78,7791293014951,axe twist,0.00,0
79,7791293009193,axe vice,0.00,0
80,7791100000481,azucar,0.00,0
81,7792860016217,baby doll,0.00,0
82,7790036000572,baggio 200 ml manzana,0.00,0
83,7790036000619,baggio 200 ml multifruta,0.00,0
84,7790036000565,baggio 200 ml naranja,0.00,0
85,7790036973289,baggio 200 ml naranja light,0.00,0
86,7790040996403,bagley alfajor blanco simple,0.00,0
87,7790040991910,bagley alfajor blanco triple,0.00,0
88,7790040996304,bagley alfajor negro simple,0.00,0
89,7790040375000,bagley alfajor negro triple,0.00,0
90,7790040999404,bagley salvado galletitas,0.00,0
91,100000196,barbies,0.00,0
92,100000012,bayaspiria c caliente,0.00,0
93,100000013,bayaspirina  ,0.00,0
94,100000014,bayaspirina  forte,0.00,0
95,100000015,bayaspirina C,0.00,0
96,100000105,beedies ganesh,0.00,0
97,77935366,beldent berry fresh mint,0.00,0
98,77995186,beldent chicle globo,0.00,0
99,77935359,beldent citrus fresh mint,0.00,0
100,77934062,beldent frutas rojas,0.00,0
101,77934079,beldent frutos verdes,0.00,0
102,7791249020043,beldent infinit amarillo,0.00,0
103,7506105602468,beldent infinit menta,0.00,0
104,7791249020142,beldent infinit rosa,0.00,0
105,77933997,beldent menta,0.00,0
106,77934000,beldent menta fuerte,0.00,0
107,77934055,beldent menta polar,0.00,0
108,77934086,beldent menta turbo,0.00,0
109,77934024,beldent mentol,0.00,0
110,77919342,beldent music mint,0.00,0
